 !, doc.freq 3, pointer: 0
 $, doc.freq 2, pointer: 25
 &, doc.freq 4322, pointer: 44
 ', doc.freq 464, pointer: 22757
 '', doc.freq 1507, pointer: 25278
 '87, doc.freq 1, pointer: 33295
 '87/88, doc.freq 1, pointer: 33302
 'at, doc.freq 1, pointer: 33309
 'bankrupt, doc.freq 1, pointer: 33316
 'd, doc.freq 14, pointer: 33323
 'event', doc.freq 1, pointer: 33420
 'full, doc.freq 1, pointer: 33427
 'give, doc.freq 1, pointer: 33434
 'growth, doc.freq 1, pointer: 33441
 'let, doc.freq 1, pointer: 33449
 'liber, doc.freq 1, pointer: 33456
 'll, doc.freq 29, pointer: 33463
 'm, doc.freq 25, pointer: 33654
 'no, doc.freq 1, pointer: 33819
 'old, doc.freq 1, pointer: 33826
 'protection, doc.freq 2, pointer: 33833
 're, doc.freq 77, pointer: 33850
 's, doc.freq 2802, pointer: 34304
 'sourc, doc.freq 1, pointer: 49137
 'sugarcan, doc.freq 1, pointer: 49145
 'take, doc.freq 2, pointer: 49153
 'target, doc.freq 1, pointer: 49170
 'teishoku, doc.freq 1, pointer: 49177
 'the, doc.freq 1, pointer: 49184
 've, doc.freq 46, pointer: 49191
 'we, doc.freq 1, pointer: 49472
 (, doc.freq 1170, pointer: 49480
 ), doc.freq 1170, pointer: 55690
 *, doc.freq 3, pointer: 61902
 +1.8, doc.freq 1, pointer: 61928
 +10.1, doc.freq 1, pointer: 61935
 +12.5, doc.freq 1, pointer: 61942
 +12.8, doc.freq 1, pointer: 61949
 +13.5, doc.freq 1, pointer: 61956
 +13.7, doc.freq 1, pointer: 61963
 +2.4, doc.freq 1, pointer: 61970
 +2.8, doc.freq 1, pointer: 61977
 +3.4, doc.freq 1, pointer: 61984
 +5.6, doc.freq 1, pointer: 61991
 +7.7, doc.freq 1, pointer: 61998
 +9.8, doc.freq 1, pointer: 62005
 +bahia, doc.freq 1, pointer: 62012
 ,, doc.freq 5427, pointer: 62016
 ,100, doc.freq 1, pointer: 90655
 -, doc.freq 461, pointer: 90661
 --, doc.freq 255, pointer: 93210
 -0.6, doc.freq 1, pointer: 94616
 -0.90, doc.freq 1, pointer: 94623
 -1.10, doc.freq 1, pointer: 94630
 -10.0, doc.freq 1, pointer: 94637
 -10.4, doc.freq 1, pointer: 94644
 -11.7, doc.freq 1, pointer: 94651
 -137, doc.freq 1, pointer: 94658
 -14.2, doc.freq 1, pointer: 94666
 -2.0, doc.freq 1, pointer: 94673
 -2.8, doc.freq 1, pointer: 94680
 -6.3, doc.freq 1, pointer: 94687
 -7.1, doc.freq 1, pointer: 94694
 -8.7, doc.freq 1, pointer: 94701
 -aci, doc.freq 1, pointer: 94708
 -agenc, doc.freq 1, pointer: 94716
 -announc, doc.freq 1, pointer: 94723
 -banker, doc.freq 1, pointer: 94731
 -base, doc.freq 1, pointer: 94738
 -daimler-puch, doc.freq 1, pointer: 94744
 -dealer, doc.freq 1, pointer: 94751
 -franc, doc.freq 1, pointer: 94758
 -grower, doc.freq 1, pointer: 94765
 -iri, doc.freq 1, pointer: 94772
 -ivori, doc.freq 1, pointer: 94779
 -laval, doc.freq 1, pointer: 94786
 -led, doc.freq 3, pointer: 94792
 -micropro, doc.freq 1, pointer: 94818
 -minist, doc.freq 1, pointer: 94825
 -offici, doc.freq 1, pointer: 94833
 -radiat, doc.freq 1, pointer: 94840
 ., doc.freq 6093, pointer: 94848
 .., doc.freq 11, pointer: 126944
 ..., doc.freq 137, pointer: 127031
 ...., doc.freq 11, pointer: 127807
 ....., doc.freq 3, pointer: 127892
 ......, doc.freq 3, pointer: 127918
 ......., doc.freq 1, pointer: 127944
 ........, doc.freq 3, pointer: 127952
 ........., doc.freq 2, pointer: 127978
 .........., doc.freq 3, pointer: 127998
 ..........., doc.freq 2, pointer: 128024
 ............, doc.freq 2, pointer: 128044
 .............., doc.freq 1, pointer: 128064
 ................, doc.freq 1, pointer: 128072
 ................., doc.freq 1, pointer: 128080
 ...................., doc.freq 1, pointer: 128088
 .........................................., doc.freq 1, pointer: 128096
 .000, doc.freq 1, pointer: 128104
 .029, doc.freq 1, pointer: 128112
 .059, doc.freq 1, pointer: 128119
 .06, doc.freq 1, pointer: 128126
 .062, doc.freq 2, pointer: 128134
 .063, doc.freq 1, pointer: 128151
 .067, doc.freq 1, pointer: 128158
 .068, doc.freq 1, pointer: 128165
 .0687, doc.freq 1, pointer: 128172
 .0840, doc.freq 1, pointer: 128179
 .125, doc.freq 1, pointer: 128186
 .19, doc.freq 1, pointer: 128191
 .237, doc.freq 1, pointer: 128198
 .3322, doc.freq 1, pointer: 128205
 .99, doc.freq 1, pointer: 128211
 .999, doc.freq 1, pointer: 128218
 .current, doc.freq 1, pointer: 128225
 .forecast, doc.freq 1, pointer: 128233
 /exxon, doc.freq 1, pointer: 128241
 /oapec/opec, doc.freq 1, pointer: 128248
 /ompani, doc.freq 1, pointer: 128255
 /southmark, doc.freq 1, pointer: 128262
 0, doc.freq 10, pointer: 128270
 0-92, doc.freq 1, pointer: 128348
 0.006913, doc.freq 1, pointer: 128355
 0.006916, doc.freq 1, pointer: 128363
 0.007050, doc.freq 1, pointer: 128371
 0.007100, doc.freq 1, pointer: 128379
 0.007150, doc.freq 1, pointer: 128387
 0.01, doc.freq 2, pointer: 128395
 0.015, doc.freq 1, pointer: 128411
 0.020, doc.freq 1, pointer: 128419
 0.025, doc.freq 1, pointer: 128427
 0.026, doc.freq 1, pointer: 128433
 0.03, doc.freq 1, pointer: 128440
 0.0333, doc.freq 1, pointer: 128448
 0.04, doc.freq 1, pointer: 128456
 0.045, doc.freq 1, pointer: 128463
 0.046, doc.freq 3, pointer: 128471
 0.05, doc.freq 2, pointer: 128493
 0.051675, doc.freq 1, pointer: 128513
 0.055, doc.freq 2, pointer: 128521
 0.06, doc.freq 1, pointer: 128538
 0.073, doc.freq 2, pointer: 128545
 0.077, doc.freq 3, pointer: 128562
 0.1, doc.freq 45, pointer: 128584
 0.1-0.2, doc.freq 1, pointer: 128852
 0.10, doc.freq 1, pointer: 128859
 0.11, doc.freq 1, pointer: 128867
 0.125, doc.freq 1, pointer: 128874
 0.127, doc.freq 2, pointer: 128881
 0.13, doc.freq 1, pointer: 128898
 0.1365, doc.freq 2, pointer: 128906
 0.139, doc.freq 2, pointer: 128926
 0.15, doc.freq 2, pointer: 128943
 0.152, doc.freq 1, pointer: 128962
 0.163, doc.freq 2, pointer: 128969
 0.166, doc.freq 1, pointer: 128986
 0.18, doc.freq 3, pointer: 128993
 0.183, doc.freq 1, pointer: 129015
 0.185, doc.freq 3, pointer: 129022
 0.190, doc.freq 1, pointer: 129047
 0.194, doc.freq 2, pointer: 129054
 0.2, doc.freq 49, pointer: 129071
 0.2-0.3, doc.freq 1, pointer: 129364
 0.206, doc.freq 2, pointer: 129371
 0.210, doc.freq 1, pointer: 129388
 0.211, doc.freq 1, pointer: 129395
 0.212, doc.freq 1, pointer: 129403
 0.213, doc.freq 1, pointer: 129410
 0.22, doc.freq 2, pointer: 129418
 0.221, doc.freq 1, pointer: 129435
 0.226, doc.freq 2, pointer: 129443
 0.23, doc.freq 3, pointer: 129460
 0.2354, doc.freq 1, pointer: 129482
 0.24, doc.freq 1, pointer: 129489
 0.25, doc.freq 3, pointer: 129495
 0.250, doc.freq 1, pointer: 129520
 0.26, doc.freq 1, pointer: 129527
 0.27, doc.freq 1, pointer: 129534
 0.28, doc.freq 1, pointer: 129542
 0.285, doc.freq 1, pointer: 129549
 0.3, doc.freq 47, pointer: 129556
 0.3-0.4, doc.freq 1, pointer: 129845
 0.30, doc.freq 1, pointer: 129852
 0.33, doc.freq 3, pointer: 129859
 0.342, doc.freq 1, pointer: 129883
 0.35, doc.freq 2, pointer: 129890
 0.37, doc.freq 1, pointer: 129907
 0.375, doc.freq 1, pointer: 129913
 0.38, doc.freq 3, pointer: 129920
 0.39, doc.freq 2, pointer: 129945
 0.4, doc.freq 46, pointer: 129959
 0.4-0.5, doc.freq 1, pointer: 130237
 0.40, doc.freq 1, pointer: 130244
 0.418, doc.freq 1, pointer: 130251
 0.422, doc.freq 1, pointer: 130259
 0.43, doc.freq 1, pointer: 130266
 0.45, doc.freq 3, pointer: 130274
 0.48, doc.freq 1, pointer: 130299
 0.5, doc.freq 68, pointer: 130307
 0.50, doc.freq 11, pointer: 130712
 0.500, doc.freq 1, pointer: 130801
 0.51, doc.freq 2, pointer: 130808
 0.5165, doc.freq 2, pointer: 130825
 0.523, doc.freq 1, pointer: 130839
 0.5250, doc.freq 1, pointer: 130845
 0.528, doc.freq 1, pointer: 130852
 0.53, doc.freq 1, pointer: 130859
 0.530, doc.freq 1, pointer: 130865
 0.531, doc.freq 2, pointer: 130873
 0.5400, doc.freq 1, pointer: 130890
 0.5430, doc.freq 1, pointer: 130897
 0.545, doc.freq 2, pointer: 130904
 0.55, doc.freq 2, pointer: 130921
 0.56, doc.freq 1, pointer: 130938
 0.563, doc.freq 1, pointer: 130945
 0.58, doc.freq 1, pointer: 130952
 0.6, doc.freq 30, pointer: 130959
 0.60, doc.freq 1, pointer: 131152
 0.635, doc.freq 1, pointer: 131158
 0.64, doc.freq 3, pointer: 131165
 0.6400, doc.freq 1, pointer: 131187
 0.6438, doc.freq 1, pointer: 131194
 0.65, doc.freq 1, pointer: 131201
 0.6800, doc.freq 1, pointer: 131208
 0.6820, doc.freq 1, pointer: 131215
 0.6858/63, doc.freq 1, pointer: 131222
 0.6864/69, doc.freq 1, pointer: 131229
 0.6875, doc.freq 1, pointer: 131236
 0.6900, doc.freq 1, pointer: 131243
 0.693, doc.freq 2, pointer: 131250
 0.7, doc.freq 50, pointer: 131267
 0.706, doc.freq 1, pointer: 131569
 0.708, doc.freq 1, pointer: 131577
 0.7234, doc.freq 1, pointer: 131585
 0.75, doc.freq 8, pointer: 131593
 0.756, doc.freq 1, pointer: 131643
 0.76, doc.freq 2, pointer: 131650
 0.7600, doc.freq 1, pointer: 131670
 0.7656, doc.freq 1, pointer: 131678
 0.7660, doc.freq 1, pointer: 131686
 0.7665, doc.freq 1, pointer: 131694
 0.77, doc.freq 1, pointer: 131702
 0.7800, doc.freq 1, pointer: 131709
 0.8, doc.freq 34, pointer: 131717
 0.80, doc.freq 2, pointer: 131919
 0.809, doc.freq 2, pointer: 131936
 0.81, doc.freq 1, pointer: 131953
 0.82, doc.freq 1, pointer: 131960
 0.83, doc.freq 1, pointer: 131967
 0.87, doc.freq 3, pointer: 131974
 0.875, doc.freq 1, pointer: 131999
 0.88, doc.freq 2, pointer: 132006
 0.9, doc.freq 37, pointer: 132023
 0.902, doc.freq 1, pointer: 132256
 0.92, doc.freq 2, pointer: 132263
 0.948, doc.freq 1, pointer: 132280
 0.95, doc.freq 2, pointer: 132287
 0.96, doc.freq 1, pointer: 132304
 0.99, doc.freq 1, pointer: 132311
 0/92, doc.freq 14, pointer: 132315
 000, doc.freq 1, pointer: 132407
 01/31/87, doc.freq 1, pointer: 132415
 0100, doc.freq 1, pointer: 132423
 02/28/86, doc.freq 1, pointer: 132431
 02/28/87, doc.freq 1, pointer: 132439
 0400, doc.freq 2, pointer: 132447
 0500, doc.freq 1, pointer: 132464
 06, doc.freq 1, pointer: 132471
 0600, doc.freq 2, pointer: 132478
 0650, doc.freq 1, pointer: 132495
 06:14:59.08, doc.freq 1, pointer: 132502
 0700, doc.freq 1, pointer: 132508
 0730, doc.freq 2, pointer: 132516
 07:35:58.11, doc.freq 1, pointer: 132535
 0800, doc.freq 2, pointer: 132541
 0830, doc.freq 3, pointer: 132558
 0900, doc.freq 5, pointer: 132582
 0914, doc.freq 1, pointer: 132624
 0915, doc.freq 1, pointer: 132631
 0930, doc.freq 2, pointer: 132639
 0955, doc.freq 1, pointer: 132656
 09:39:50.97, doc.freq 1, pointer: 132663
 1, doc.freq 298, pointer: 132669
 1,000, doc.freq 42, pointer: 134319
 1,000,000, doc.freq 2, pointer: 134580
 1,000,501, doc.freq 1, pointer: 134597
 1,000/500, doc.freq 1, pointer: 134605
 1,001,000, doc.freq 1, pointer: 134613
 1,001,315, doc.freq 1, pointer: 134620
 1,001,430, doc.freq 2, pointer: 134627
 1,002,000, doc.freq 2, pointer: 134644
 1,004,000, doc.freq 2, pointer: 134661
 1,0053,234, doc.freq 1, pointer: 134680
 1,006,000, doc.freq 1, pointer: 134687
 1,008,000, doc.freq 1, pointer: 134694
 1,008,857, doc.freq 1, pointer: 134701
 1,009,731, doc.freq 1, pointer: 134709
 1,010,000, doc.freq 1, pointer: 134716
 1,010,249, doc.freq 1, pointer: 134723
 1,011,200, doc.freq 1, pointer: 134730
 1,011,999, doc.freq 1, pointer: 134737
 1,012.50, doc.freq 1, pointer: 134744
 1,013,000, doc.freq 3, pointer: 134752
 1,014, doc.freq 1, pointer: 134774
 1,014,000, doc.freq 1, pointer: 134781
 1,015,800, doc.freq 2, pointer: 134788
 1,016,000, doc.freq 1, pointer: 134807
 1,016,375, doc.freq 1, pointer: 134814
 1,017,000, doc.freq 2, pointer: 134821
 1,017.50, doc.freq 1, pointer: 134838
 1,018,000, doc.freq 1, pointer: 134846
 1,019,000, doc.freq 1, pointer: 134854
 1,019.00, doc.freq 1, pointer: 134861
 1,020, doc.freq 2, pointer: 134869
 1,020,096, doc.freq 1, pointer: 134888
 1,025,000, doc.freq 6, pointer: 134895
 1,025,961, doc.freq 1, pointer: 134937
 1,026,000, doc.freq 1, pointer: 134944
 1,026,479, doc.freq 1, pointer: 134951
 1,026,627, doc.freq 1, pointer: 134958
 1,028,000, doc.freq 2, pointer: 134966
 1,029,921, doc.freq 1, pointer: 134985
 1,031,000, doc.freq 1, pointer: 134992
 1,032,000, doc.freq 2, pointer: 134999
 1,032,300, doc.freq 1, pointer: 135016
 1,033,000, doc.freq 1, pointer: 135024
 1,034,000, doc.freq 1, pointer: 135032
 1,035,000, doc.freq 1, pointer: 135039
 1,035.1, doc.freq 2, pointer: 135044
 1,036,000, doc.freq 1, pointer: 135061
 1,037,000, doc.freq 3, pointer: 135068
 1,037,690, doc.freq 1, pointer: 135090
 1,038,000, doc.freq 1, pointer: 135096
 1,038,300, doc.freq 1, pointer: 135103
 1,039.50, doc.freq 1, pointer: 135110
 1,040, doc.freq 1, pointer: 135118
 1,040,000, doc.freq 2, pointer: 135126
 1,040,700, doc.freq 1, pointer: 135143
 1,041,000, doc.freq 3, pointer: 135150
 1,042,000, doc.freq 8, pointer: 135176
 1,044,424, doc.freq 1, pointer: 135233
 1,045, doc.freq 1, pointer: 135240
 1,045,000, doc.freq 2, pointer: 135247
 1,045,799, doc.freq 3, pointer: 135264
 1,045.3, doc.freq 1, pointer: 135286
 1,046,460, doc.freq 1, pointer: 135294
 1,046,785, doc.freq 1, pointer: 135301
 1,047,000, doc.freq 1, pointer: 135308
 1,048,000, doc.freq 2, pointer: 135315
 1,048,340, doc.freq 1, pointer: 135331
 1,048,543, doc.freq 2, pointer: 135339
